Exposure,Outcome,Covariates,Sample_Size,Standardised_Beta,SE,P-value
CRP_log,dep_episodes,Base_Model,5019,-0.0112103571311743,0.0248263063415692,0.651620565749523
CRP_log,dep_episodes,Fully_Adjusted,5019,-0.0199381709542234,0.0267485252299851,0.456084904706389
CRP_log,PLE_total,Base_Model,5019,0.00511693227933326,0.0429507425934334,0.905180294152614
CRP_log,PLE_total,Fully_Adjusted,5019,0.000932119972003791,0.045976897598838,0.983826922750206
