Exposure,Outcome,Covariates,Sample_Size,Standardised_Beta,SE,P-value
IL6_log,dep_episodes,Base_Model,5009,0.0619739219769556,0.0238301401290908,0.00933657548037292
IL6_log,dep_episodes,Fully_Adjusted,5009,0.0616093689095175,0.0242808737855612,0.0112046985360903
IL6_log,PLE_total,Base_Model,5009,0.0887535580654385,0.0403943745914562,0.0280866303387173
IL6_log,PLE_total,Fully_Adjusted,5009,0.0867909394681053,0.0411456624944933,0.0350012814158385
