"Exposure","Outcome","Covariates","Sample_Size","Standardised Beta","CI_lower","CI_upper","SE","P-value","Significant_covariates"
"CRP PRS (SBayesR)","PEs","Base Model",6401,-0.0138102504296004,-0.0840910061770141,0.05644140157217,0.0359760160729349,0.701071977094984,"Sex1; pc3"
"IL-6 PRS (SBayesR)","PEs","Base Model",6401,0.0476951946767482,-0.0230303794879862,0.118545426327325,0.0361340032531822,0.186850630341989,"Sex1; pc3"
