"Exposure","Outcome","Covariates","Sample_Size","Standardised Beta","CI_lower","CI_upper","SE","P-value","Significant_covariates"
"log(IL-6)","PEs","Base Model",4732,0.084267861283001,0.00271305674741429,0.165760427077257,0.0408613930936392,0.0391805561780892,"Sex1"
"log(CRP)","PEs","Base Model",4742,-0.0109545473178667,-0.0930323341253091,0.0701516719294799,0.0425301126280922,0.796737583608379,"Sex1"
