"Exposure","Outcome","Covariates","Sample_Size","Standardised Beta","CI_lower","CI_upper","SE","P-value","Significant_covariates"
"CRP PRS (SBayesR)","PEs","Fully Adjusted",5699,0.00607806160391387,-0.0681189592781788,0.0802924530382398,0.0380363667696818,0.873041726675543,"Sex1; pc3"
"IL-6 PRS (SBayesR)","PEs","Fully Adjusted",5699,0.0293146484860101,-0.0453258493174972,0.104046144831583,0.0380900150469607,0.441528280261895,"Sex1; pc3"
